img_id,scan_name,classname,gt_index,has_pred_bbox,spatial_zone
0,scene0207_01,counter,0,True,3
0,scene0207_01,bed,1,True,3
0,scene0207_01,door,2,True,4
0,scene0207_01,door,3,True,3
0,scene0207_01,door,4,True,2
0,scene0207_01,cabinet,5,True,4
0,scene0207_01,cabinet,6,True,4
0,scene0207_01,cabinet,7,True,4
0,scene0207_01,bathtub,8,True,4
0,scene0207_01,chair,9,False,3
1,scene0663_02,chair,0,True,4
1,scene0663_02,chair,1,True,3
1,scene0663_02,chair,2,True,3
1,scene0663_02,door,3,True,3
1,scene0663_02,cabinet,4,True,3
1,scene0663_02,cabinet,5,False,3
1,scene0663_02,cabinet,6,True,3
1,scene0663_02,desk,7,True,4
2,scene0412_01,door,0,True,4
2,scene0412_01,counter,1,False,3
3,scene0702_01,door,0,True,4
3,scene0702_01,door,1,True,2
3,scene0702_01,cabinet,2,False,3
3,scene0702_01,bathtub,3,True,3
4,scene0423_02,chair,0,True,3
4,scene0423_02,chair,1,True,1
4,scene0423_02,chair,2,True,3
4,scene0423_02,chair,3,True,2
5,scene0700_01,chair,0,True,4
5,scene0700_01,chair,1,True,4
5,scene0700_01,chair,2,True,4
5,scene0700_01,chair,3,True,3
5,scene0700_01,desk,4,True,3
5,scene0700_01,bookshelf,5,True,3
5,scene0700_01,door,6,True,2
5,scene0700_01,cabinet,7,True,3
5,scene0700_01,cabinet,8,False,4
6,scene0653_00,cabinet,0,True,4
6,scene0653_00,cabinet,1,True,4
6,scene0653_00,cabinet,2,True,3
6,scene0653_00,cabinet,3,True,3
6,scene0653_00,cabinet,4,True,4
6,scene0653_00,cabinet,5,False,3
6,scene0653_00,chair,6,True,3
6,scene0653_00,chair,7,True,3
6,scene0653_00,chair,8,True,3
6,scene0653_00,chair,9,True,4
6,scene0653_00,chair,10,True,3
6,scene0653_00,chair,11,True,4
6,scene0653_00,chair,12,True,4
6,scene0653_00,chair,13,True,4
6,scene0653_00,desk,14,True,4
6,scene0653_00,desk,15,True,4
6,scene0653_00,desk,16,True,4
6,scene0653_00,desk,17,True,3
6,scene0653_00,desk,18,True,4
6,scene0653_00,desk,19,True,4
6,scene0653_00,door,20,False,3
7,scene0131_01,desk,0,False,2
7,scene0131_01,chair,1,True,4
7,scene0131_01,chair,2,True,2
7,scene0131_01,chair,3,True,3
7,scene0131_01,chair,4,True,3
7,scene0131_01,chair,5,True,3
7,scene0131_01,chair,6,True,2
7,scene0131_01,chair,7,True,3
7,scene0131_01,chair,8,True,3
7,scene0131_01,chair,9,True,4
9,scene0609_02,chair,0,True,3
9,scene0609_02,chair,1,True,2
9,scene0609_02,chair,2,True,2
9,scene0609_02,chair,3,True,2
9,scene0609_02,chair,4,True,2
9,scene0609_02,chair,5,True,3
9,scene0609_02,chair,6,True,3
9,scene0609_02,chair,7,True,3
9,scene0609_02,chair,8,True,3
9,scene0609_02,chair,9,True,3
9,scene0609_02,chair,10,True,3
9,scene0609_02,chair,11,False,2
10,scene0490_00,chair,0,True,4
10,scene0490_00,chair,1,True,4
10,scene0490_00,chair,2,True,2
10,scene0490_00,chair,3,True,3
10,scene0490_00,chair,4,True,3
10,scene0490_00,chair,5,True,3
10,scene0490_00,chair,6,True,3
10,scene0490_00,chair,7,True,4
10,scene0490_00,chair,8,True,3
10,scene0490_00,chair,9,True,3
11,scene0307_01,door,0,False,4
11,scene0307_01,door,1,True,2
11,scene0307_01,door,2,True,3
11,scene0307_01,door,3,True,3
11,scene0307_01,door,4,False,4
11,scene0307_01,door,5,True,2
11,scene0307_01,chair,6,True,3
11,scene0307_01,cabinet,7,True,3
12,scene0277_01,bed,0,True,3
12,scene0277_01,desk,1,True,4
12,scene0277_01,cabinet,2,False,4
12,scene0277_01,chair,3,True,3
12,scene0277_01,door,4,True,3
13,scene0084_01,counter,0,True,3
13,scene0084_01,door,1,True,2
13,scene0084_01,door,2,True,4
14,scene0608_01,chair,0,True,4
14,scene0608_01,chair,1,True,3
14,scene0608_01,chair,2,True,3
