img_id,scan_name,classname,gt_bbox_index,pred_bbox_index
0,scene0011_00,cabinet,0,
0,scene0011_00,cabinet,16,
0,scene0011_00,cabinet,22,
0,scene0011_00,table,1,860.0
0,scene0011_00,table,14,
0,scene0011_00,chair,2,
0,scene0011_00,chair,3,249.0
0,scene0011_00,chair,4,243.0
0,scene0011_00,chair,5,235.0
0,scene0011_00,chair,6,228.0
0,scene0011_00,chair,7,221.0
0,scene0011_00,chair,8,
0,scene0011_00,chair,9,259.0
0,scene0011_00,chair,10,254.0
0,scene0011_00,chair,11,218.0
0,scene0011_00,chair,12,241.0
0,scene0011_00,otherfurniture,13,501.0
0,scene0011_00,otherfurniture,25,
0,scene0011_00,refrigerator,15,598.0
0,scene0011_00,refrigerator,21,
0,scene0011_00,window,17,
0,scene0011_00,window,18,948.0
0,scene0011_00,counter,19,323.0
0,scene0011_00,sink,20,
0,scene0011_00,door,23,
0,scene0011_00,door,24,
1,scene0011_01,refrigerator,0,
1,scene0011_01,refrigerator,20,
1,scene0011_01,chair,1,190.0
1,scene0011_01,chair,2,179.0
1,scene0011_01,chair,3,176.0
1,scene0011_01,chair,4,
1,scene0011_01,chair,5,
1,scene0011_01,chair,6,
1,scene0011_01,chair,7,191.0
1,scene0011_01,chair,8,174.0
1,scene0011_01,chair,9,202.0
1,scene0011_01,chair,10,
1,scene0011_01,counter,11,239.0
1,scene0011_01,window,12,
1,scene0011_01,table,13,
1,scene0011_01,otherfurniture,14,427.0
1,scene0011_01,otherfurniture,16,
1,scene0011_01,otherfurniture,17,
1,scene0011_01,cabinet,15,
1,scene0011_01,cabinet,18,
1,scene0011_01,cabinet,21,
1,scene0011_01,sink,19,
1,scene0011_01,door,22,
2,scene0015_00,chair,0,
2,scene0015_00,chair,1,
2,scene0015_00,chair,4,210.0
2,scene0015_00,chair,5,
2,scene0015_00,chair,6,229.0
2,scene0015_00,chair,7,
2,scene0015_00,chair,8,
2,scene0015_00,chair,9,
2,scene0015_00,chair,10,
2,scene0015_00,chair,11,223.0
2,scene0015_00,chair,12,
2,scene0015_00,chair,13,
2,scene0015_00,chair,14,242.0
2,scene0015_00,chair,15,
2,scene0015_00,chair,16,254.0
2,scene0015_00,chair,17,226.0
2,scene0015_00,chair,18,236.0
2,scene0015_00,chair,19,
2,scene0015_00,chair,20,
2,scene0015_00,chair,28,
2,scene0015_00,chair,29,
2,scene0015_00,chair,30,
2,scene0015_00,window,2,
2,scene0015_00,window,3,
2,scene0015_00,table,21,
2,scene0015_00,table,22,791.0
2,scene0015_00,table,23,811.0
2,scene0015_00,table,24,
2,scene0015_00,table,25,795.0
2,scene0015_00,table,26,
2,scene0015_00,table,27,
3,scene0019_00,chair,0,
3,scene0019_00,chair,1,
3,scene0019_00,chair,5,
3,scene0019_00,chair,6,
3,scene0019_00,chair,7,158.0
3,scene0019_00,chair,8,
3,scene0019_00,chair,9,158.0
3,scene0019_00,chair,11,
3,scene0019_00,chair,12,
3,scene0019_00,chair,13,
3,scene0019_00,sofa,2,459.0
3,scene0019_00,otherfurniture,3,
3,scene0019_00,door,4,
3,scene0019_00,door,10,
4,scene0019_01,chair,0,148.0
