img_id,scan_name,classname,gt_bbox_index,pred_bbox_index
0,scene0011_00,cabinet,0,199.0
0,scene0011_00,cabinet,16,183.0
0,scene0011_00,cabinet,22,
0,scene0011_00,table,1,940.0
0,scene0011_00,table,14,898.0
0,scene0011_00,chair,2,252.0
0,scene0011_00,chair,3,243.0
0,scene0011_00,chair,4,285.0
0,scene0011_00,chair,5,270.0
0,scene0011_00,chair,6,276.0
0,scene0011_00,chair,7,273.0
0,scene0011_00,chair,8,281.0
0,scene0011_00,chair,9,289.0
0,scene0011_00,chair,10,287.0
0,scene0011_00,chair,11,239.0
0,scene0011_00,chair,12,265.0
0,scene0011_00,otherfurniture,13,
0,scene0011_00,otherfurniture,25,
0,scene0011_00,refrigerator,15,696.0
0,scene0011_00,refrigerator,21,
0,scene0011_00,window,17,1041.0
0,scene0011_00,window,18,1008.0
0,scene0011_00,counter,19,337.0
0,scene0011_00,sink,20,
0,scene0011_00,door,23,490.0
0,scene0011_00,door,24,490.0
1,scene0011_01,refrigerator,0,
1,scene0011_01,refrigerator,20,676.0
1,scene0011_01,chair,1,271.0
1,scene0011_01,chair,2,238.0
1,scene0011_01,chair,3,252.0
1,scene0011_01,chair,4,274.0
1,scene0011_01,chair,5,269.0
1,scene0011_01,chair,6,232.0
1,scene0011_01,chair,7,243.0
1,scene0011_01,chair,8,246.0
1,scene0011_01,chair,9,273.0
1,scene0011_01,chair,10,235.0
1,scene0011_01,counter,11,337.0
1,scene0011_01,window,12,1040.0
1,scene0011_01,table,13,906.0
1,scene0011_01,otherfurniture,14,568.0
1,scene0011_01,otherfurniture,16,
1,scene0011_01,otherfurniture,17,
1,scene0011_01,cabinet,15,184.0
1,scene0011_01,cabinet,18,
1,scene0011_01,cabinet,21,
1,scene0011_01,sink,19,
1,scene0011_01,door,22,482.0
2,scene0015_00,chair,0,336.0
2,scene0015_00,chair,1,309.0
2,scene0015_00,chair,4,294.0
2,scene0015_00,chair,5,
2,scene0015_00,chair,6,344.0
2,scene0015_00,chair,7,307.0
2,scene0015_00,chair,8,349.0
2,scene0015_00,chair,9,284.0
2,scene0015_00,chair,10,
2,scene0015_00,chair,11,315.0
2,scene0015_00,chair,12,311.0
2,scene0015_00,chair,13,293.0
2,scene0015_00,chair,14,300.0
2,scene0015_00,chair,15,328.0
2,scene0015_00,chair,16,323.0
2,scene0015_00,chair,17,354.0
2,scene0015_00,chair,18,332.0
2,scene0015_00,chair,19,301.0
2,scene0015_00,chair,20,326.0
2,scene0015_00,chair,28,348.0
2,scene0015_00,chair,29,299.0
2,scene0015_00,chair,30,292.0
2,scene0015_00,window,2,1211.0
2,scene0015_00,window,3,
2,scene0015_00,table,21,1116.0
2,scene0015_00,table,22,1099.0
2,scene0015_00,table,23,1120.0
2,scene0015_00,table,24,1115.0
2,scene0015_00,table,25,1119.0
2,scene0015_00,table,26,1093.0
2,scene0015_00,table,27,1100.0
3,scene0019_00,chair,0,201.0
3,scene0019_00,chair,1,
3,scene0019_00,chair,5,
3,scene0019_00,chair,6,207.0
3,scene0019_00,chair,7,208.0
3,scene0019_00,chair,8,
3,scene0019_00,chair,9,215.0
3,scene0019_00,chair,11,
3,scene0019_00,chair,12,
3,scene0019_00,chair,13,218.0
3,scene0019_00,sofa,2,663.0
3,scene0019_00,otherfurniture,3,425.0
3,scene0019_00,door,4,365.0
3,scene0019_00,door,10,402.0
4,scene0019_01,chair,0,180.0
4,scene0019_01,chair,1,213.0
4,scene0019_01,chair,2,
4,scene0019_01,chair,3,213.0
4,scene0019_01,chair,4,
4,scene0019_01,chair,5,
4,scene0019_01,chair,6,
4,scene0019_01,chair,7,195.0
4,scene0019_01,chair,12,
4,scene0019_01,chair,13,224.0
4,scene0019_01,sofa,8,666.0
4,scene0019_01,door,9,372.0
4,scene0019_01,door,10,403.0
4,scene0019_01,otherfurniture,11,419.0
5,scene0025_00,sofa,0,732.0
5,scene0025_00,sofa,1,762.0
5,scene0025_00,door,2,450.0
5,scene0025_00,desk,3,396.0
5,scene0025_00,desk,4,381.0
5,scene0025_00,chair,5,238.0
5,scene0025_00,chair,6,247.0
