img_id,scan_name,classname,gt_index,has_pred_bbox
0,scene0207_01,counter,0,True
0,scene0207_01,bed,1,True
0,scene0207_01,door,2,True
0,scene0207_01,door,3,True
0,scene0207_01,door,4,True
0,scene0207_01,cabinet,5,True
0,scene0207_01,cabinet,6,True
0,scene0207_01,cabinet,7,True
0,scene0207_01,bathtub,8,True
0,scene0207_01,chair,9,False
1,scene0663_02,chair,0,True
1,scene0663_02,chair,1,True
1,scene0663_02,chair,2,True
1,scene0663_02,door,3,True
1,scene0663_02,cabinet,4,True
1,scene0663_02,cabinet,5,False
1,scene0663_02,cabinet,6,True
1,scene0663_02,desk,7,True
2,scene0412_01,door,0,True
2,scene0412_01,counter,1,False
3,scene0702_01,door,0,True
3,scene0702_01,door,1,True
3,scene0702_01,cabinet,2,False
3,scene0702_01,bathtub,3,True
4,scene0423_02,chair,0,True
4,scene0423_02,chair,1,True
4,scene0423_02,chair,2,True
4,scene0423_02,chair,3,True
5,scene0700_01,chair,0,True
5,scene0700_01,chair,1,True
5,scene0700_01,chair,2,True
5,scene0700_01,chair,3,True
5,scene0700_01,desk,4,True
5,scene0700_01,bookshelf,5,True
5,scene0700_01,door,6,True
5,scene0700_01,cabinet,7,True
5,scene0700_01,cabinet,8,False
6,scene0653_00,cabinet,0,True
6,scene0653_00,cabinet,1,True
6,scene0653_00,cabinet,2,True
6,scene0653_00,cabinet,3,True
6,scene0653_00,cabinet,4,True
6,scene0653_00,cabinet,5,False
6,scene0653_00,chair,6,True
6,scene0653_00,chair,7,True
6,scene0653_00,chair,8,True
6,scene0653_00,chair,9,True
6,scene0653_00,chair,10,True
6,scene0653_00,chair,11,True
6,scene0653_00,chair,12,True
6,scene0653_00,chair,13,True
6,scene0653_00,desk,14,True
6,scene0653_00,desk,15,True
6,scene0653_00,desk,16,True
6,scene0653_00,desk,17,True
6,scene0653_00,desk,18,True
6,scene0653_00,desk,19,True
6,scene0653_00,door,20,False
7,scene0131_01,desk,0,False
7,scene0131_01,chair,1,True
7,scene0131_01,chair,2,True
7,scene0131_01,chair,3,True
7,scene0131_01,chair,4,True
7,scene0131_01,chair,5,True
7,scene0131_01,chair,6,True
7,scene0131_01,chair,7,True
7,scene0131_01,chair,8,True
7,scene0131_01,chair,9,True
9,scene0609_02,chair,0,True
9,scene0609_02,chair,1,True
9,scene0609_02,chair,2,True
9,scene0609_02,chair,3,True
9,scene0609_02,chair,4,True
9,scene0609_02,chair,5,True
9,scene0609_02,chair,6,True
9,scene0609_02,chair,7,True
9,scene0609_02,chair,8,True
9,scene0609_02,chair,9,True
9,scene0609_02,chair,10,True
9,scene0609_02,chair,11,False
10,scene0490_00,chair,0,True
10,scene0490_00,chair,1,True
10,scene0490_00,chair,2,True
10,scene0490_00,chair,3,True
10,scene0490_00,chair,4,True
10,scene0490_00,chair,5,True
10,scene0490_00,chair,6,True
10,scene0490_00,chair,7,True
10,scene0490_00,chair,8,True
10,scene0490_00,chair,9,True
11,scene0307_01,door,0,False
11,scene0307_01,door,1,True
11,scene0307_01,door,2,True
11,scene0307_01,door,3,True
11,scene0307_01,door,4,False
11,scene0307_01,door,5,True
11,scene0307_01,chair,6,True
11,scene0307_01,cabinet,7,True
12,scene0277_01,bed,0,True
12,scene0277_01,desk,1,True
12,scene0277_01,cabinet,2,False
12,scene0277_01,chair,3,True
12,scene0277_01,door,4,True
13,scene0084_01,counter,0,True
13,scene0084_01,door,1,True
13,scene0084_01,door,2,True
14,scene0608_01,chair,0,True
14,scene0608_01,chair,1,True
14,scene0608_01,chair,2,True
14,scene0608_01,curtain,3,True
14,scene0608_01,door,4,False
15,scene0663_01,desk,0,True
15,scene0663_01,desk,1,True
15,scene0663_01,chair,2,True
15,scene0663_01,chair,3,False
15,scene0663_01,chair,4,True
15,scene0663_01,cabinet,5,True
15,scene0663_01,cabinet,6,False
15,scene0663_01,cabinet,7,False
15,scene0663_01,door,8,True
16,scene0307_02,cabinet,0,True
16,scene0307_02,cabinet,1,True
16,scene0307_02,cabinet,2,True
16,scene0307_02,door,3,True
16,scene0307_02,door,4,False
16,scene0307_02,door,5,False
16,scene0307_02,door,6,False
16,scene0307_02,door,7,True
16,scene0307_02,door,8,True
16,scene0307_02,door,9,True
16,scene0307_02,chair,10,True
17,scene0088_00,chair,0,True
17,scene0088_00,chair,1,True
17,scene0088_00,chair,2,True
17,scene0088_00,chair,3,True
17,scene0088_00,chair,4,True
17,scene0088_00,chair,5,True
17,scene0088_00,chair,6,True
17,scene0088_00,chair,7,True
17,scene0088_00,chair,8,True
17,scene0088_00,chair,9,True
17,scene0088_00,chair,10,True
17,scene0088_00,chair,11,True
17,scene0088_00,chair,12,True
17,scene0088_00,chair,13,True
17,scene0088_00,chair,14,True
17,scene0088_00,chair,15,True
17,scene0088_00,chair,16,True
17,scene0088_00,chair,17,False
17,scene0088_00,chair,18,False
17,scene0088_00,chair,19,True
17,scene0088_00,chair,20,False
17,scene0088_00,chair,21,True
17,scene0088_00,chair,22,True
17,scene0088_00,chair,23,False
17,scene0088_00,chair,24,True
17,scene0088_00,door,25,True
17,scene0088_00,door,26,False
18,scene0249_00,chair,0,True
18,scene0249_00,chair,1,True
18,scene0249_00,chair,2,True
18,scene0249_00,chair,3,True
18,scene0249_00,chair,4,True
18,scene0249_00,chair,5,True
18,scene0249_00,chair,6,True
18,scene0249_00,chair,7,True
18,scene0249_00,chair,8,True
18,scene0249_00,chair,9,True
18,scene0249_00,chair,10,True
18,scene0249_00,chair,11,True
18,scene0249_00,chair,12,False
18,scene0249_00,chair,13,True
18,scene0249_00,chair,14,True
18,scene0249_00,chair,15,True
18,scene0249_00,chair,16,True
18,scene0249_00,chair,17,True
18,scene0249_00,chair,18,True
18,scene0249_00,chair,19,False
18,scene0249_00,chair,20,True
18,scene0249_00,chair,21,True
18,scene0249_00,chair,22,True
18,scene0249_00,chair,23,True
18,scene0249_00,chair,24,True
18,scene0249_00,chair,25,True
18,scene0249_00,chair,26,True
18,scene0249_00,chair,27,False
18,scene0249_00,chair,28,False
18,scene0249_00,chair,29,False
18,scene0249_00,chair,30,True
18,scene0249_00,chair,31,True
18,scene0249_00,chair,32,True
19,scene0414_00,chair,0,True
19,scene0414_00,chair,1,False
19,scene0414_00,chair,2,True
19,scene0414_00,chair,3,True
19,scene0414_00,chair,4,True
19,scene0414_00,chair,5,True
19,scene0414_00,chair,6,True
19,scene0414_00,chair,7,True
19,scene0414_00,chair,8,True
19,scene0414_00,chair,9,True
19,scene0414_00,chair,10,True
19,scene0414_00,chair,11,True
19,scene0414_00,chair,12,True
19,scene0414_00,chair,13,True
19,scene0414_00,chair,14,True
19,scene0414_00,chair,15,True
19,scene0414_00,chair,16,False
19,scene0414_00,chair,17,True
19,scene0414_00,chair,18,True
19,scene0414_00,chair,19,True
19,scene0414_00,chair,20,True
19,scene0414_00,chair,21,False
19,scene0414_00,chair,22,True
19,scene0414_00,chair,23,True
19,scene0414_00,chair,24,True
19,scene0414_00,chair,25,True
19,scene0414_00,chair,26,True
19,scene0414_00,cabinet,27,True
20,scene0353_00,chair,0,True
20,scene0353_00,chair,1,True
20,scene0353_00,chair,2,True
20,scene0353_00,curtain,3,False
20,scene0353_00,bookshelf,4,True
20,scene0353_00,desk,5,True
20,scene0353_00,desk,6,False
20,scene0353_00,door,7,False
20,scene0353_00,door,8,True
20,scene0353_00,bed,9,True
21,scene0608_02,chair,0,True
